22:15:06.823 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:06.823 [main] INFO  client.ClientLogger [INFO ] - PUT: Key=key14, Value=14
22:15:06.823 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Inserted Key & value using PUT: Key: key14 Value: 14
22:15:06.823 [main] INFO  client.ClientLogger [INFO ] - Response: Inserted Key & value using PUT: Key: key14 Value: 14
22:15:06.823 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:06.823 [main] INFO  client.ClientLogger [INFO ] - GET: Key=key14, Checksum=3009585102
22:15:06.824 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Retrieved Key value using GET: Key: key14 Value: 14
22:15:06.824 [main] INFO  client.ClientLogger [INFO ] - Response: Retrieved Key value using GET: Key: key14 Value: 14
22:15:06.824 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:06.824 [main] INFO  client.ClientLogger [INFO ] - DELETE: Key=key14, Checksum=1628183882
22:15:06.824 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Deletion of  Key Successful: Key: key14
22:15:06.824 [main] INFO  client.ClientLogger [INFO ] - Response: Deletion of  Key Successful: Key: key14
22:15:06.824 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:06.824 [main] INFO  client.ClientLogger [INFO ] - PUT: Key=key15, Value=15
22:15:06.824 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Inserted Key & value using PUT: Key: key15 Value: 15
22:15:06.825 [main] INFO  client.ClientLogger [INFO ] - Response: Inserted Key & value using PUT: Key: key15 Value: 15
22:15:06.825 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:06.825 [main] INFO  client.ClientLogger [INFO ] - GET: Key=key15, Checksum=3294998360
22:15:06.825 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Retrieved Key value using GET: Key: key15 Value: 15
22:15:06.825 [main] INFO  client.ClientLogger [INFO ] - Response: Retrieved Key value using GET: Key: key15 Value: 15
22:15:06.825 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:06.825 [main] INFO  client.ClientLogger [INFO ] - DELETE: Key=key15, Checksum=369831388
22:15:06.826 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Deletion of  Key Successful: Key: key15
22:15:06.826 [main] INFO  client.ClientLogger [INFO ] - Response: Deletion of  Key Successful: Key: key15
22:15:06.829 [main] INFO  client.ClientLogger [INFO ] - Waiting for user input...
22:15:13.950 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:13.954 [main] INFO  client.ClientLogger [INFO ] - Request sent to server: PUT pramod 1
22:15:13.956 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Inserted Key & value using PUT: Key: pramod Value: 1
22:15:13.957 [main] INFO  client.ClientLogger [INFO ] - Response received from server: Inserted Key & value using PUT: Key: pramod Value: 1
22:15:13.957 [main] INFO  client.ClientLogger [INFO ] - Waiting for user input...
22:15:19.182 [main] INFO  client.ClientLogger [INFO ] - Request sent to server localhost:8585
22:15:19.183 [main] INFO  client.ClientLogger [INFO ] - Request sent to server: PUT asdffvadsf 6
22:15:19.183 [main] INFO  client.ClientLogger [INFO ] - Response received from server localhost:8585 Response: Inserted Key & value using PUT: Key: asdffvadsf Value: 6
22:15:19.183 [main] INFO  client.ClientLogger [INFO ] - Response received from server: Inserted Key & value using PUT: Key: asdffvadsf Value: 6
22:15:19.184 [main] INFO  client.ClientLogger [INFO ] - Waiting for user input...
